"Source:","C:\Users\mario\Desktop\mesa_de_mezclas\mesa_mezclas\mesa_mezclas.kicad_sch"
"Date:","2024-11-23T13:52:01+0100"
"Tool:","Eeschema 8.0.5"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","79"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C4","2","2u2","C","huellas_mm:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C2, C5","2","33n","C","huellas_mm:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C3, C6","2","3n3","C","huellas_mm:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C7, C13","2","100p","C","huellas_mm:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C8, C9, C10","3","1n","C","huellas_mm:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C11","1","10u","C","huellas_mm:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C12","1","22u","C","huellas_mm:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C29, C30","2","C_Polarized","C_Polarized","huellas_mm:CP_Elec_5x5.3","Polarized capacitor","",""
"D1, D2","2","1N4148W","1N4148W","huellas_mm:D_SOD-123","75V 0.15A Fast Switching Diode, SOD-123","",""
"J1, J2, J3, J5","4","Conn_01x02_Socket","Conn_01x02_Socket","huellas_mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J8","1","Conn_01x03_Socket","Conn_01x03_Socket","huellas_mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"Q1","1","BC807","BC807","huellas_mm:SOT-23","0.8A Ic, 45V Vce, PNP Transistor, SOT-23","",""
"Q2","1","BC817","BC817","huellas_mm:SOT-23","0.8A Ic, 45V Vce, NPN Transistor, SOT-23","",""
"R1, R3, R5, R6, R8, R9, R15, R16, R18, R23, R24, R26, R29","13","10k","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R2, R4, R7, R10","4","2k2","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R11, R12, R13, R14, R19, R20, R21, R22, R30, R31, R35, R36","12","1k","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R17, R25","2","3.3k","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R27","1","71.2k","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R28","1","R","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R32, R33","2","1","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R34","1","33","R","huellas_mm:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"RV1, RV3","2","100k","R_Potentiometer","huellas_mm:PinHeader_1x03_P2.54mm_Vertical","Potentiometer","",""
"RV2, RV4","2","470k","R_Potentiometer","huellas_mm:PinHeader_1x03_P2.54mm_Vertical","Potentiometer","",""
"RV5, RV6, RV7, RV8, RV9","5","10k","R_Potentiometer","huellas_mm:PinHeader_1x03_P2.54mm_Vertical","Potentiometer","",""
"U1, U2, U3, U4, U5, U7, U8, U9","8","TL082","TL082","huellas_mm:SOIC-8_3.9x4.9mm_P1.27mm","Dual JFET-Input Operational Amplifiers, DIP-8/SOIC-8/SSOP-8","",""
"U12, U13","2","BAT46W","BAT46W","huellas_mm:D_SOD-123F","","",""
